# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

antiabolitionist                    -> abolitionist
antiabortifacient                   -> abortifacient
antiabortion                        -> abortion
antiabortionist                     -> abortionist
antiabortive                        -> abortive
antiabrasion                        -> abrasion
antiabsolutism                      -> absolutism
antiabsolutist                      -> absolutist
antiabuse                           -> abuse
antiacademic                        -> academic
antiacarian                         -> acarian
antiacceleration                    -> acceleration
antiaccelerator                     -> accelerator
antiaccumulation                    -> accumulation
antiacetylated                      -> acetylated
antiacetylcholinesterase            -> acetylcholinesterase
antiacid                            -> acid
antiacne                            -> acne
antiacridian                        -> acridian
antiactin                           -> actin
antiactivator                       -> activator
antiactivist                        -> activist
antiadaptationist                   -> adaptationist
antiaddiction                       -> addiction
antiaddictive                       -> addictive
antiadenocarcinoma                  -> adenocarcinoma
antiadherence                       -> adherence
antiadhesion                        -> adhesion
antiadhesive                        -> adhesive
antiadiabatic                       -> adiabatic
antiadiaphorist                     -> adiaphorist
antiadipocytic                      -> adipocytic
antiadipogenic                      -> adipogenic
antiadipose                         -> adipose
antiadministration                  -> administration
antiadoption                        -> adoption
antiadrenergic                      -> adrenergic
antiadulteration                    -> adulteration
antiadultery                        -> adultery
antiadvertising                     -> advertising
antiaesthetic                       -> aesthetic
antiageist                          -> ageist
antiager                            -> ager
antiagglomerant                     -> agglomerant
antiagglutinin                      -> agglutinin
antiaggregant                       -> aggregant
antiaggregation                     -> aggregation
antiaggregative                     -> aggregative
antiaggregatory                     -> aggregatory
antiaggressin                       -> aggressin
antiaggression                      -> aggression
antiaggressionist                   -> aggressionist
antiaggressive                      -> aggressive
antiagnosticism                     -> agnosticism
antiagrarian                        -> agrarian
antiagrarianism                     -> agrarianism
antiagreement                       -> agreement
antiagricultural                    -> agricultural
antiagriculture                     -> agriculture
antiair                             -> air
antiaircraftsman                    -> aircraftsman
antiairport                         -> airport
antialarmist                        -> alarmist
antialbuminuric                     -> albuminuric
antialcohol                         -> alcohol
antialcoholic                       -> alcoholic
antialcoholism                      -> alcoholism
antialcoholist                      -> alcoholist
antialdosterone                     -> aldosterone
antialdosteronic                    -> aldosteronic
antialexin                          -> alexin
antialgae                           -> algae
antialgal                           -> algal
antialgebra                         -> algebra
antialias                           -> alias
antialiasing                        -> aliasing
antialien                           -> alien
antialienism                        -> alienism
antialigned                         -> aligned
antialigning                        -> aligning
antialignment                       -> alignment
antialkaline                        -> alkaline
antiallergen                        -> allergen
antiallergenic                      -> allergenic
antiallergic                        -> allergic
antiallergy                         -> allergy
antialliance                        -> alliance
antiallodynic                       -> allodynic
antialloside                        -> alloside
antialopecia                        -> alopecia
antialtruism                        -> altruism
antialtruistic                      -> altruistic
antiamarillic                       -> amarillic
antiamastigote                      -> amastigote
antiamboceptor                      -> amboceptor
antiambush                          -> ambush
antiamendment                       -> amendment
antiamnesic                         -> amnesic
antiamnesty                         -> amnesty
antiamoebic                         -> amoebic
antiamphetamine                     -> amphetamine
antiamusement                       -> amusement
antiamyloid                         -> amyloid
antiamyloidogenic                   -> amyloidogenic
antianabolic                        -> anabolic
antianalgesia                       -> analgesia
antianaphylactic                    -> anaphylactic
antianaphylaxis                     -> anaphylaxis
antianaplastic                      -> anaplastic
antianarchic                        -> anarchic
antiandrogen                        -> androgen
