# im- candidates (221 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

imageable                           -> ageable
imageless                           -> ageless
imamic                              -> amic
imbalanced                          -> balanced
imbannered                          -> bannered
imbellic                            -> bellic
imbibitory                          -> bibitory
imidic                              -> idic
immaculate                          -> maculate
immalleable                         -> malleable
immanifest                          -> manifest
immarginate                         -> marginate
immartial                           -> martial
immatchable                         -> matchable
immaterial                          -> material
immaterialistic                     -> materialistic
immateriate                         -> materiate
immatured                           -> matured
immeasurable                        -> measurable
immeasured                          -> measured
immechanical                        -> mechanical
immediate                           -> mediate
immediative                         -> mediative
immediatorial                       -> mediatorial
immelodious                         -> melodious
immemorable                         -> memorable
immemorial                          -> memorial
immensurable                        -> mensurable
immerited                           -> merited
immeritorious                       -> meritorious
immethodic                          -> methodic
immethodical                        -> methodical
immetrical                          -> metrical
immigrant                           -> migrant
immigrational                       -> migrational
immigratory                         -> migratory
immiscible                          -> miscible
immitigable                         -> mitigable
immixable                           -> mixable
immixed                             -> mixed
immobile                            -> mobile
immobilized                         -> mobilized
immoderate                          -> moderate
immodest                            -> modest
immomentous                         -> momentous
immoral                             -> moral
immoralistic                        -> moralistic
immorigerous                        -> morigerous
immortal                            -> mortal
immortalist                         -> mortalist
immortified                         -> mortified
immotile                            -> motile
immotive                            -> motive
immovable                           -> movable
immoved                             -> moved
immune                              -> mune
immusical                           -> musical
immutable                           -> mutable
impacable                           -> pacable
impactless                          -> pactless
impairable                          -> pairable
impaired                            -> paired
impalatable                         -> palatable
impaled                             -> paled
impalpable                          -> palpable
imparasitic                         -> parasitic
impardonable                        -> pardonable
imparidigitate                      -> paridigitate
imparisyllabic                      -> parisyllabic
imparous                            -> parous
imparsable                          -> parsable
imparsimonious                      -> parsimonious
impartable                          -> partable
impartible                          -> partible
imparticipable                      -> participable
impartite                           -> partite
impassable                          -> passable
impassible                          -> passible
impassioned                         -> passioned
impassive                           -> passive
impatent                            -> patent
impaternate                         -> paternate
impatible                           -> patible
impatient                           -> patient
impatriotic                         -> patriotic
impavid                             -> pavid
impeachy                            -> peachy
impeccant                           -> peccant
impectinate                         -> pectinate
impecuniary                         -> pecuniary
impecunious                         -> pecunious
impedimental                        -> pedimental
impedimented                        -> pedimented
impendent                           -> pendent
impending                           -> pending
impenetrable                        -> penetrable
impenetrative                       -> penetrative
impenitent                          -> penitent
impennate                           -> pennate
imperceivable                       -> perceivable
imperceived                         -> perceived
imperceptible                       -> perceptible
imperceptive                        -> perceptive
impercipient                        -> percipient
imperfect                           -> perfect
imperfectible                       -> perfectible
imperfectionist                     -> perfectionist
imperfective                        -> perfective
imperforable                        -> perforable
imperforate                         -> perforate
imperforated                        -> perforated
imperishable                        -> perishable
impermanent                         -> permanent
impermeable                         -> permeable
impermeant                          -> permeant
impermissible                       -> permissible
impermissive                        -> permissive
impermutable                        -> permutable
imperseverant                       -> perseverant
impersistent                        -> persistent
impersonable                        -> personable
impersonalistic                     -> personalistic
impersonative                       -> personative
imperspicuous                       -> perspicuous
imperspirable                       -> perspirable
impersuadable                       -> persuadable
impersuasible                       -> persuasible
impertinent                         -> pertinent
imperturbable                       -> perturbable
imperturbated                       -> perturbated
imperturbed                         -> perturbed
impervertible                       -> pervertible
impervial                           -> pervial
impervious                          -> pervious
impierceable                        -> pierceable
impious                             -> pious
impish                              -> pish
impiteous                           -> piteous
implacable                          -> placable
implacental                         -> placental
implacentate                        -> placentate
implantable                         -> plantable
implastic                           -> plastic
implausible                         -> plausible
impleadable                         -> pleadable
impleasing                          -> pleasing
impliable                           -> pliable
implicate                           -> plicate
implied                             -> plied
implosive                           -> plosive
implumed                            -> plumed
impoetic                            -> poetic
impolarizable                       -> polarizable
impolished                          -> polished
impolitic                           -> politic
imponderable                        -> ponderable
imponderous                         -> ponderous
imponent                            -> ponent
impopular                           -> popular
imporous                            -> porous
importless                          -> portless
imposable                           -> posable
imposing                            -> posing
impositional                        -> positional
impossible                          -> possible
impotable                           -> potable
impotent                            -> potent
impoundable                         -> poundable
impracticable                       -> practicable
impractical                         -> practical
imprecative                         -> precative
imprecatory                         -> precatory
imprecise                           -> precise
impredicable                        -> predicable
impredicative                       -> predicative
impredictable                       -> predictable
impregnable                         -> pregnable
impregnant                          -> pregnant
imprejudicate                       -> prejudicate
imprepared                          -> prepared
imprescribable                      -> prescribable
imprescriptible                     -> prescriptible
impressed                           -> pressed
impressive                          -> pressive
imprestable                         -> prestable
impreventable                       -> preventable
imprevisible                        -> previsible
imprimitive                         -> primitive
imprintable                         -> printable
imprinted                           -> printed
imprisonable                        -> prisonable
improbative                         -> probative
improbatory                         -> probatory
improcreant                         -> procreant
improcurable                        -> procurable
improducible                        -> producible
improfitable                        -> profitable
improgressive                       -> progressive
improlific                          -> prolific
improminent                         -> prominent
improper                            -> proper
impropitious                        -> propitious
improportionable                    -> proportionable
improportionate                     -> proportionate
improsperous                        -> prosperous
improtected                         -> protected
improvable                          -> provable
improvident                         -> provident
improvidential                      -> providential
imprudential                        -> prudential
impuberal                           -> puberal
impuberate                          -> puberate
impudent                            -> pudent
impuissant                          -> puissant
impulseless                         -> pulseless
impunctate                          -> punctate
impunctual                          -> punctual
impunitive                          -> punitive
imputative                          -> putative
imputrescible                       -> putrescible
imsonic                             -> sonic
