# ir- candidates (110 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

irable                              -> able
iridic                              -> idic
irishy                              -> ishy
irradiant                           -> radiant
irradiate                           -> radiate
irradiated                          -> radiated
irradiating                         -> radiating
irradiative                         -> radiative
irrationable                        -> rationable
irrational                          -> rational
irrationalistic                     -> rationalistic
irreal                              -> real
irrealis                            -> realis
irrealistic                         -> realistic
irrealizable                        -> realizable
irrebuttable                        -> rebuttable
irreceptive                         -> receptive
irreciprocal                        -> reciprocal
irreclaimable                       -> reclaimable
irreclaimed                         -> reclaimed
irrecognizable                      -> recognizable
irrecompensable                     -> recompensable
irrecondite                         -> recondite
irrecoverable                       -> recoverable
irrecuperable                       -> recuperable
irrecusable                         -> recusable
irredeemable                        -> redeemable
irredeemed                          -> redeemed
irreducible                         -> reducible
irredundant                         -> redundant
irreferential                       -> referential
irreflective                        -> reflective
irreflexive                         -> reflexive
irreformable                        -> reformable
irrefrangible                       -> refrangible
irrefusable                         -> refusable
irregardful                         -> regardful
irregardless                        -> regardless
irregenerate                        -> regenerate
irregible                           -> regible
irregular                           -> regular
irrejectable                        -> rejectable
irrelapsable                        -> relapsable
irrelated                           -> related
irrelative                          -> relative
irrelevant                          -> relevant
irreliable                          -> reliable
irrelievable                        -> relievable
irreluctant                         -> reluctant
irremediable                        -> remediable
irremediless                        -> remediless
irrememberable                      -> rememberable
irremissible                        -> remissible
irremissive                         -> remissive
irremittable                        -> remittable
irremovable                         -> removable
irremunerable                       -> remunerable
irrenewable                         -> renewable
irrenowned                          -> renowned
irrepairable                        -> repairable
irreparable                         -> reparable
irreparate                          -> reparate
irrepatriable                       -> repatriable
irrepealable                        -> repealable
irreplaceable                       -> replaceable
irrepleviable                       -> repleviable
irreplicable                        -> replicable
irreprehensible                     -> reprehensible
irrepresentable                     -> representable
irrepressible                       -> repressible
irreproducible                      -> reproducible
irreprovable                        -> reprovable
irreptitious                        -> reptitious
irrepublican                        -> republican
irrepudiable                        -> repudiable
irrepugnable                        -> repugnable
irreputable                         -> reputable
irrescindable                       -> rescindable
irresectable                        -> resectable
irresilient                         -> resilient
irresistless                        -> resistless
irresoluble                         -> resoluble
irresolvable                        -> resolvable
irresolved                          -> resolved
irrespective                        -> respective
irresponsible                       -> responsible
irresponsive                        -> responsive
irrestrainable                      -> restrainable
irresultative                       -> resultative
irresuscitable                      -> resuscitable
irretentive                         -> retentive
irreticent                          -> reticent
irretraceable                       -> retraceable
irretractable                       -> retractable
irretractile                        -> retractile
irretrievable                       -> retrievable
irreturnable                        -> returnable
irrevealable                        -> revealable
irreverend                          -> reverend
irreverential                       -> reverential
irreversible                        -> reversible
irreviewable                        -> reviewable
irrevisable                         -> revisable
irrevocable                         -> revocable
irrevoluble                         -> revoluble
irrhythmic                          -> rhythmic
irrisible                           -> risible
irrotational                        -> rotational
irrubrical                          -> rubrical
irruptive                           -> ruptive
