# re- candidates (2455 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

reabandon                           -> abandon
reablate                            -> ablate
reabnormalize                       -> abnormalize
reabolish                           -> abolish
reabrade                            -> abrade
reabridge                           -> abridge
reabsent                            -> absent
reabsolve                           -> absolve
reabsorb                            -> absorb
reabstract                          -> abstract
reabuse                             -> abuse
reaccede                            -> accede
reaccelerate                        -> accelerate
reaccent                            -> accent
reaccentuate                        -> accentuate
reaccept                            -> accept
reaccess                            -> access
reaccession                         -> accession
reacclimate                         -> acclimate
reacclimatize                       -> acclimatize
reaccommodate                       -> accommodate
reaccompany                         -> accompany
reaccomplish                        -> accomplish
reaccord                            -> accord
reaccount                           -> account
reaccredit                          -> accredit
reaccrete                           -> accrete
reaccrue                            -> accrue
reacculturate                       -> acculturate
reaccumulate                        -> accumulate
reaccuse                            -> accuse
reaccustom                          -> accustom
reacetylate                         -> acetylate
reachieve                           -> achieve
reacidify                           -> acidify
reacknowledge                       -> acknowledge
reacquaint                          -> acquaint
reacquire                           -> acquire
reacquit                            -> acquit
react                               -> act
reactivate                          -> activate
reactualize                         -> actualize
reactuate                           -> actuate
reacylate                           -> acylate
readapt                             -> adapt
readd                               -> add
readdict                            -> addict
readdress                           -> address
readduce                            -> adduce
readhere                            -> adhere
readjourn                           -> adjourn
readjudicate                        -> adjudicate
readjust                            -> adjust
readminister                        -> administer
readmire                            -> admire
readmit                             -> admit
readopt                             -> adopt
readorn                             -> adorn
readsorb                            -> adsorb
readvance                           -> advance
readventure                         -> adventure
readvertise                         -> advertise
readvise                            -> advise
reaerate                            -> aerate
reaerosolise                        -> aerosolise
reaffect                            -> affect
reaffiliate                         -> affiliate
reaffirm                            -> affirm
reaffix                             -> affix
reafflict                           -> afflict
reafforest                          -> afforest
reagglomerate                       -> agglomerate
reaggravate                         -> aggravate
reaggregate                         -> aggregate
reagitate                           -> agitate
reagree                             -> agree
reaim                               -> aim
reair                               -> air
realarm                             -> alarm
realienate                          -> alienate
realign                             -> align
realkalize                          -> alkalize
realkylate                          -> alkylate
reallege                            -> allege
reallegorize                        -> allegorize
reallocate                          -> allocate
reallot                             -> allot
reallow                             -> allow
realloy                             -> alloy
reallude                            -> allude
realphabetize                       -> alphabetize
realter                             -> alter
reamalgamate                        -> amalgamate
reamass                             -> amass
reambulate                          -> ambulate
reamend                             -> amend
reamplify                           -> amplify
reamputate                          -> amputate
reamuse                             -> amuse
reanalyze                           -> analyze
reanchor                            -> anchor
reanesthetize                       -> anesthetize
reangle                             -> angle
reanimalize                         -> animalize
reanimate                           -> animate
reanneal                            -> anneal
reannex                             -> annex
reannotate                          -> annotate
reannounce                          -> announce
reanoint                            -> anoint
reanswer                            -> answer
reapologize                         -> apologize
reapparate                          -> apparate
reapparel                           -> apparel
reappeal                            -> appeal
reappear                            -> appear
reappease                           -> appease
reapplaud                           -> applaud
reapply                             -> apply
reappoint                           -> appoint
reapportion                         -> apportion
reappraise                          -> appraise
reappreciate                        -> appreciate
reapprehend                         -> apprehend
reapprise                           -> apprise
reapproach                          -> approach
reappropriate                       -> appropriate
reapprove                           -> approve
reapproximate                       -> approximate
rearbitrate                         -> arbitrate
rearchitect                         -> architect
rearchive                           -> archive
reargue                             -> argue
rearise                             -> arise
rearm                               -> arm
rearomatize                         -> aromatize
rearouse                            -> arouse
rearraign                           -> arraign
rearrange                           -> arrange
rearray                             -> array
rearrest                            -> arrest
rearrive                            -> arrive
rearterialize                       -> arterialize
rearticulate                        -> articulate
reascend                            -> ascend
reascertain                         -> ascertain
reask                               -> ask
reaspirate                          -> aspirate
reaspire                            -> aspire
reassail                            -> assail
reassault                           -> assault
reassay                             -> assay
reassemble                          -> assemble
reassent                            -> assent
reassert                            -> assert
reassess                            -> assess
reasseverate                        -> asseverate
reassign                            -> assign
reassimilate                        -> assimilate
reassociate                         -> associate
reassort                            -> assort
reassume                            -> assume
reassure                            -> assure
reastonish                          -> astonish
reattack                            -> attack
reattain                            -> attain
reattempt                           -> attempt
reattend                            -> attend
reattenuate                         -> attenuate
reattest                            -> attest
reattire                            -> attire
reattract                           -> attract
reattribute                         -> attribute
reattune                            -> attune
reauction                           -> auction
reaudit                             -> audit
reaudition                          -> audition
reaugment                           -> augment
reauthenticate                      -> authenticate
reauthor                            -> author
reauthorize                         -> authorize
reautopsy                           -> autopsy
reavail                             -> avail
reavouch                            -> avouch
reavow                              -> avow
reawait                             -> await
reawake                             -> awake
reawaken                            -> awaken
reaward                             -> award
reback                              -> back
rebadge                             -> badge
rebag                               -> bag
rebail                              -> bail
rebait                              -> bait
rebake                              -> bake
rebalance                           -> balance
rebale                              -> bale
reballast                           -> ballast
reballot                            -> ballot
reban                               -> ban
reband                              -> band
rebandage                           -> bandage
rebanish                            -> banish
rebankrupt                          -> bankrupt
rebaptize                           -> baptize
rebar                               -> bar
rebarbarize                         -> barbarize
rebargain                           -> bargain
rebarrel                            -> barrel
rebarricade                         -> barricade
rebarter                            -> barter
rebase                              -> base
rebaseline                          -> baseline
rebat                               -> bat
rebatch                             -> batch
rebate                              -> bate
rebathe                             -> bathe
rebeach                             -> beach
rebeam                              -> beam
rebear                              -> bear
rebeat                              -> beat
rebeautify                          -> beautify
rebecome                            -> become
rebed                               -> bed
rebeget                             -> beget
rebegin                             -> begin
rebehold                            -> behold
rebelieve                           -> believe
rebellow                            -> bellow
rebenchmark                         -> benchmark
rebend                              -> bend
rebesiege                           -> besiege
rebestow                            -> bestow
rebetray                            -> betray
rebevel                             -> bevel
rebias                              -> bias
rebid                               -> bid
rebifurcate                         -> bifurcate
rebill                              -> bill
rebillet                            -> billet
rebin                               -> bin
rebind                              -> bind
rebiopsy                            -> biopsy
rebirth                             -> birth
rebite                              -> bite
reblacken                           -> blacken
reblade                             -> blade
reblank                             -> blank
reblanket                           -> blanket
reblast                             -> blast
reblaze                             -> blaze
reblazon                            -> blazon
rebleach                            -> bleach
rebleed                             -> bleed
reblend                             -> blend
rebless                             -> bless
reblit                              -> blit
reblock                             -> block
reblog                              -> blog
rebloom                             -> bloom
reblossom                           -> blossom
reblot                              -> blot
reblow                              -> blow
reblue                              -> blue
rebluff                             -> bluff
reboard                             -> board
rebody                              -> body
reboil                              -> boil
rebolster                           -> bolster
rebolt                              -> bolt
rebond                              -> bond
rebook                              -> book
reboost                             -> boost
reboot                              -> boot
reborder                            -> border
rebore                              -> bore
reborrow                            -> borrow
rebottle                            -> bottle
rebottom                            -> bottom
rebounce                            -> bounce
rebound                             -> bound
rebox                               -> box
rebrace                             -> brace
rebracket                           -> bracket
rebraid                             -> braid
rebranch                            -> branch
rebrand                             -> brand
rebreach                            -> breach
rebreak                             -> break
rebreathe                           -> breathe
rebreed                             -> breed
rebrew                              -> brew
rebribe                             -> bribe
rebrick                             -> brick
rebridge                            -> bridge
rebrief                             -> brief
rebrighten                          -> brighten
rebring                             -> bring
rebristle                           -> bristle
rebroach                            -> broach
rebroadcast                         -> broadcast
rebrominate                         -> brominate
rebronze                            -> bronze
rebrown                             -> brown
rebrush                             -> brush
rebubble                            -> bubble
rebucket                            -> bucket
rebuckle                            -> buckle
rebud                               -> bud
rebudget                            -> budget
rebuffer                            -> buffer
rebuild                             -> build
rebulb                              -> bulb
rebulk                              -> bulk
rebump                              -> bump
rebunch                             -> bunch
rebundle                            -> bundle
rebung                              -> bung
rebunker                            -> bunker
reburden                            -> burden
