# dis- candidates (771 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

disable                             -> able
disabled                            -> abled
disabuse                            -> abuse
disaccommodate                      -> accommodate
disaccord                           -> accord
disaccordant                        -> accordant
disaccredit                         -> accredit
disaccustom                         -> accustom
disacidify                          -> acidify
disacknowledge                      -> acknowledge
disacquaint                         -> acquaint
disactivate                         -> activate
disadaptive                         -> adaptive
disadhere                           -> adhere
disadhesive                         -> adhesive
disadjust                           -> adjust
disadorn                            -> adorn
disadvance                          -> advance
disadvantage                        -> advantage
disadvantageable                    -> advantageable
disadvantaged                       -> advantaged
disadvantageous                     -> advantageous
disadventurous                      -> adventurous
disadvise                           -> advise
disaffect                           -> affect
disaffected                         -> affected
disaffectionate                     -> affectionate
disaffiliate                        -> affiliate
disaffiliative                      -> affiliative
disaffirm                           -> affirm
disaffirmative                      -> affirmative
disafforest                         -> afforest
disagglomerate                      -> agglomerate
disaggregate                        -> aggregate
disaggregative                      -> aggregative
disagree                            -> agree
disagreeable                        -> agreeable
disalign                            -> align
disallow                            -> allow
disallowable                        -> allowable
disallowed                          -> allowed
disally                             -> ally
disambiguate                        -> ambiguate
disambulatory                       -> ambulatory
disanalogous                        -> analogous
disanchor                           -> anchor
disangelical                        -> angelical
disanimate                          -> animate
disanimating                        -> animating
disannex                            -> annex
disannul                            -> annul
disanoint                           -> anoint
disanthropic                        -> anthropic
disapparate                         -> apparate
disapparel                          -> apparel
disapparent                         -> apparent
disappear                           -> appear
disappearable                       -> appearable
disapply                            -> apply
disappoint                          -> appoint
disappointable                      -> appointable
disappointed                        -> appointed
disappreciate                       -> appreciate
disapprobative                      -> approbative
disapprobatory                      -> approbatory
disappropriate                      -> appropriate
disapprovable                       -> approvable
disapprove                          -> approve
disapproving                        -> approving
disarm                              -> arm
disarmoured                         -> armoured
disarrange                          -> arrange
disarray                            -> array
disarrest                           -> arrest
disarticulate                       -> articulate
disarticulated                      -> articulated
disassemblable                      -> assemblable
disassemble                         -> assemble
disassent                           -> assent
disassimilate                       -> assimilate
disassimilative                     -> assimilative
disassociate                        -> associate
disassociative                      -> associative
disassortative                      -> assortative
disasterless                        -> asterless
disattach                           -> attach
disattend                           -> attend
disattenuate                        -> attenuate
disattire                           -> attire
disattract                          -> attract
disattune                           -> attune
disaugment                          -> augment
disauthorize                        -> authorize
disavail                            -> avail
disavouch                           -> avouch
disavow                             -> avow
disavowable                         -> avowable
disavowed                           -> avowed
disazo                              -> azo
disbalance                          -> balance
disbalanced                         -> balanced
disbandable                         -> bandable
disbar                              -> bar
disbark                             -> bark
disbarrable                         -> barrable
disbase                             -> base
disbecome                           -> become
disbelievable                       -> believable
disbelieve                          -> believe
disbench                            -> bench
disbend                             -> bend
disbind                             -> bind
disblame                            -> blame
disbodied                           -> bodied
disbond                             -> bond
