# in- candidates (857 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

inable                              -> able
inabsorbable                        -> absorbable
inacceptable                        -> acceptable
inaccordant                         -> accordant
inaccurate                          -> accurate
inachievable                        -> achievable
inacquiescent                       -> acquiescent
inactinic                           -> actinic
inactivable                         -> activable
inactivatable                       -> activatable
inactive                            -> active
inadaptable                         -> adaptable
inadaptive                          -> adaptive
inaddible                           -> addible
inadept                             -> adept
inadequate                          -> adequate
inadherent                          -> adherent
inadmissible                        -> admissible
inadventurous                       -> adventurous
inadvertent                         -> advertent
inadvisable                         -> advisable
inadvised                           -> advised
inaequihymeniiferous                -> aequihymeniiferous
inaesthetic                         -> aesthetic
inaffable                           -> affable
inaffected                          -> affected
inaffectionate                      -> affectionate
inagglutinable                      -> agglutinable
inagitable                          -> agitable
inaidable                           -> aidable
inalienable                         -> alienable
inalimental                         -> alimental
inalterable                         -> alterable
inamiable                           -> amiable
inamicable                          -> amicable
inamissible                         -> amissible
inamovable                          -> amovable
inamyloid                           -> amyloid
inangular                           -> angular
inanimated                          -> animated
inannihilable                       -> annihilable
inaperturate                        -> aperturate
inapparent                          -> apparent
inappealable                        -> appealable
inappeasable                        -> appeasable
inappellable                        -> appellable
inappendiculate                     -> appendiculate
inappetent                          -> appetent
inapplicable                        -> applicable
inapposite                          -> apposite
inappreciable                       -> appreciable
inappreciative                      -> appreciative
inapprehensive                      -> apprehensive
inapproachable                      -> approachable
inappropes                          -> appropes
inappropriable                      -> appropriable
inappropriate                       -> appropriate
inapproximable                      -> approximable
inapt                               -> apt
inaqueous                           -> aqueous
inarable                            -> arable
inarguable                          -> arguable
inartful                            -> artful
inarticulable                       -> articulable
inarticulate                        -> articulate
inarticulated                       -> articulated
inartificial                        -> artificial
inartistic                          -> artistic
inaspirable                         -> aspirable
inassimilable                       -> assimilable
inassuageable                       -> assuageable
inastute                            -> astute
inattackable                        -> attackable
inattentional                       -> attentional
inattentive                         -> attentive
inattributable                      -> attributable
inaudacious                         -> audacious
inaudible                           -> audible
inaugural                           -> augural
inauspicate                         -> auspicate
inauspicious                        -> auspicious
inauthentic                         -> authentic
inauthoritative                     -> authoritative
inavertible                         -> avertible
inavoidable                         -> avoidable
inbeat                              -> beat
inbent                              -> bent
inblown                             -> blown
inbond                              -> bond
inborn                              -> born
inborne                             -> borne
inbound                             -> bound
inbuilt                             -> built
inburning                           -> burning
inburnt                             -> burnt
inbursting                          -> bursting
inbye                               -> bye
incalcitrant                        -> calcitrant
incalculable                        -> calculable
incalescent                         -> calescent
incanescent                         -> canescent
incantatory                         -> cantatory
incapable                           -> capable
incapacious                         -> capacious
incapacitated                       -> capacitated
incarmined                          -> carmined
incarnate                           -> carnate
incautelous                         -> cautelous
incautious                          -> cautious
incaverned                          -> caverned
incelibate                          -> celibate
incensive                           -> censive
incensurable                        -> censurable
incertain                           -> certain
incessant                           -> cessant
inchaste                            -> chaste
incircumscriptible                  -> circumscriptible
incircumspect                       -> circumspect
incirrate                           -> cirrate
incitable                           -> citable
incivil                             -> civil
inclavated                          -> clavated
inclosed                            -> closed
inclusive                           -> clusive
incoagulable                        -> coagulable
incoercible                         -> coercible
incogent                            -> cogent
incogitable                         -> cogitable
incogitant                          -> cogitant
incogitative                        -> cogitative
incognizable                        -> cognizable
incognizant                         -> cognizant
incognoscible                       -> cognoscible
incoherent                          -> coherent
incohesive                          -> cohesive
incoincident                        -> coincident
incombinable                        -> combinable
incombustible                       -> combustible
incoming                            -> coming
incomitant                          -> comitant
incommensurable                     -> commensurable
incommensurate                      -> commensurate
