# mis- candidates (845 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

misabort                            -> abort
misabsorb                           -> absorb
misaccent                           -> accent
misaccentuate                       -> accentuate
misaccount                          -> account
misaccuse                           -> accuse
misacknowledge                      -> acknowledge
misact                              -> act
misactivate                         -> activate
misadapt                            -> adapt
misadd                              -> add
misaddress                          -> address
misadjust                           -> adjust
misadminister                       -> administer
misadorn                            -> adorn
misadvise                           -> advise
misaffect                           -> affect
misaffirm                           -> affirm
misagree                            -> agree
misaim                              -> aim
misalign                            -> align
misallege                           -> allege
misallocate                         -> allocate
misallot                            -> allot
misally                             -> ally
misalter                            -> alter
misanalyze                          -> analyze
misanneal                           -> anneal
misannotate                         -> annotate
misanswer                           -> answer
misanthropize                       -> anthropize
misappear                           -> appear
misapply                            -> apply
misappraise                         -> appraise
misappreciate                       -> appreciate
misapprehend                        -> apprehend
misappropriate                      -> appropriate
misarrange                          -> arrange
misarticulate                       -> articulate
misascribe                          -> ascribe
misask                              -> ask
misassemble                         -> assemble
misassert                           -> assert
misassess                           -> assess
misassign                           -> assign
misassociate                        -> associate
misassume                           -> assume
misattach                           -> attach
misattend                           -> attend
misattribute                        -> attribute
misattune                           -> attune
misaudit                            -> audit
misauthorize                        -> authorize
misaward                            -> award
misbalance                          -> balance
misband                             -> band
misbear                             -> bear
misbeat                             -> beat
misbecome                           -> become
misbefall                           -> befall
misbeget                            -> beget
misbehave                           -> behave
misbelieve                          -> believe
misbeseem                           -> beseem
misbestow                           -> bestow
misbid                              -> bid
misbill                             -> bill
misbind                             -> bind
misblame                            -> blame
misblend                            -> blend
misblow                             -> blow
misboard                            -> board
misbode                             -> bode
misbox                              -> box
misbrand                            -> brand
misbreathe                          -> breathe
misbreed                            -> breed
misbrew                             -> brew
misbrief                            -> brief
misbudget                           -> budget
misbuild                            -> build
misbutton                           -> button
misbuy                              -> buy
miscalculate                        -> calculate
miscalendar                         -> calendar
miscalibrate                        -> calibrate
miscall                             -> call
miscancel                           -> cancel
miscapitalize                       -> capitalize
miscaption                          -> caption
miscarry                            -> carry
miscast                             -> cast
miscatch                            -> catch
miscategorize                       -> categorize
miscensure                          -> censure
miscertify                          -> certify
mischance                           -> chance
mischannel                          -> channel
mischaracterize                     -> characterize
mischarge                           -> charge
mischeck                            -> check
mischief                            -> chief
mischoose                           -> choose
mischristen                         -> christen
mischunk                            -> chunk
miscirculate                        -> circulate
miscite                             -> cite
misclaim                            -> claim
misclass                            -> class
misclassify                         -> classify
misclean                            -> clean
miscleave                           -> cleave
misclick                            -> click
misclimb                            -> climb
misclock                            -> clock
misclose                            -> close
miscluster                          -> cluster
miscode                             -> code
miscodify                           -> codify
miscognize                          -> cognize
miscollate                          -> collate
miscollect                          -> collect
miscolour                           -> colour
miscome                             -> come
miscomfort                          -> comfort
miscommand                          -> command
miscomment                          -> comment
miscommit                           -> commit
miscommunicate                      -> communicate
miscompare                          -> compare
miscompensate                       -> compensate
miscompile                          -> compile
miscompose                          -> compose
miscomprehend                       -> comprehend
miscompute                          -> compute
misconceit                          -> conceit
misconceive                         -> conceive
misconceptualize                    -> conceptualize
misconclude                         -> conclude
miscondition                        -> condition
misconduct                          -> conduct
misconfide                          -> confide
misconfigure                        -> configure
misconfirm                          -> confirm
misconform                          -> conform
misconjecture                       -> conjecture
misconjugate                        -> conjugate
misconnect                          -> connect
misconnote                          -> connote
misconsecrate                       -> consecrate
misconsider                         -> consider
misconstruct                        -> construct
misconstrue                         -> construe
misconsume                          -> consume
miscontact                          -> contact
miscontent                          -> content
miscontinue                         -> continue
miscontrol                          -> control
misconverge                         -> converge
misconvert                          -> convert
misconvey                           -> convey
miscook                             -> cook
miscoordinate                       -> coordinate
miscopy                             -> copy
miscorrect                          -> correct
miscorrelate                        -> correlate
miscost                             -> cost
miscounsel                          -> counsel
miscount                            -> count
miscreate                           -> create
miscredit                           -> credit
miscrop                             -> crop
miscue                              -> cue
miscultivate                        -> cultivate
miscure                             -> cure
miscut                              -> cut
misdate                             -> date
misdeal                             -> deal
misdecide                           -> decide
misdecipher                         -> decipher
misdeclare                          -> declare
misdecline                          -> decline
misdecode                           -> decode
misdecorate                         -> decorate
misdeem                             -> deem
misdefend                           -> defend
misdefine                           -> define
misdeliver                          -> deliver
misdemean                           -> demean
misderive                           -> derive
misdescribe                         -> describe
misdesign                           -> design
