# non- candidates (9604 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

nonabandoned                        -> abandoned
nonabandonment                      -> abandonment
nonabdication                       -> abdication
nonabdominal                        -> abdominal
nonabductive                        -> abductive
nonabelian                          -> abelian
nonaberrant                         -> aberrant
nonabhorrent                        -> abhorrent
nonabiding                          -> abiding
nonability                          -> ability
nonabject                           -> abject
nonablative                         -> ablative
nonabnormal                         -> abnormal
nonabolition                        -> abolition
nonaboriginal                       -> aboriginal
nonaborigine                        -> aborigine
nonaborted                          -> aborted
nonabortive                         -> abortive
nonabradable                        -> abradable
nonabrasive                         -> abrasive
nonabridgment                       -> abridgment
nonabrupt                           -> abrupt
nonabscessed                        -> abscessed
nonabsence                          -> absence
nonabsent                           -> absent
nonabsentative                      -> absentative
nonabsolute                         -> absolute
nonabsolution                       -> absolution
nonabsolutism                       -> absolutism
nonabsolutist                       -> absolutist
nonabsolvable                       -> absolvable
nonabsorbability                    -> absorbability
nonabsorbable                       -> absorbable
nonabsorbed                         -> absorbed
nonabsorbent                        -> absorbent
nonabsorbing                        -> absorbing
nonabsorption                       -> absorption
nonabsorptive                       -> absorptive
nonabstainer                        -> abstainer
nonabstemious                       -> abstemious
nonabstention                       -> abstention
nonabstinent                        -> abstinent
nonabstract                         -> abstract
nonabstracted                       -> abstracted
nonabstractive                      -> abstractive
nonabsurd                           -> absurd
nonabundant                         -> abundant
nonabusable                         -> abusable
nonabuse                            -> abuse
nonabused                           -> abused
nonabuser                           -> abuser
nonabusive                          -> abusive
nonabutting                         -> abutting
nonabyssal                          -> abyssal
nonacademic                         -> academic
nonaccelerated                      -> accelerated
nonaccelerating                     -> accelerating
nonacceleration                     -> acceleration
nonaccent                           -> accent
nonaccented                         -> accented
nonaccentual                        -> accentual
nonacceptability                    -> acceptability
nonacceptable                       -> acceptable
nonacceptance                       -> acceptance
nonacceptant                        -> acceptant
nonacceptation                      -> acceptation
nonaccepted                         -> accepted
nonaccepter                         -> accepter
nonaccepting                        -> accepting
nonaccess                           -> access
nonaccessibility                    -> accessibility
nonaccession                        -> accession
nonaccessory                        -> accessory
nonaccident                         -> accident
nonaccidental                       -> accidental
nonacclimated                       -> acclimated
nonaccommodating                    -> accommodating
nonaccommodation                    -> accommodation
nonaccommodative                    -> accommodative
nonaccompanied                      -> accompanied
nonaccompaniment                    -> accompaniment
nonaccompanying                     -> accompanying
nonaccomplishable                   -> accomplishable
nonaccomplished                     -> accomplished
nonaccomplishment                   -> accomplishment
nonaccountability                   -> accountability
nonaccountable                      -> accountable
nonaccountant                       -> accountant
nonaccounting                       -> accounting
nonaccreditable                     -> accreditable
nonaccreditation                    -> accreditation
nonaccredited                       -> accredited
nonaccretion                        -> accretion
nonaccretional                      -> accretional
nonaccretionary                     -> accretionary
nonaccretive                        -> accretive
nonaccruable                        -> accruable
nonaccrual                          -> accrual
nonaccrued                          -> accrued
nonacculturated                     -> acculturated
nonacculturative                    -> acculturative
nonaccumulation                     -> accumulation
nonaccumulative                     -> accumulative
nonaccurate                         -> accurate
nonaccursed                         -> accursed
nonaccusative                       -> accusative
nonaccusatory                       -> accusatory
nonaccustomed                       -> accustomed
nonacene                            -> acene
nonacerbic                          -> acerbic
nonacetabular                       -> acetabular
nonacetate                          -> acetate
nonacetic                           -> acetic
nonacetogenic                       -> acetogenic
nonacetylated                       -> acetylated
nonacetylation                      -> acetylation
nonachievable                       -> achievable
nonachieved                         -> achieved
nonachievement                      -> achievement
nonachiever                         -> achiever
nonaching                           -> aching
nonachromatic                       -> achromatic
nonacicular                         -> acicular
nonacid                             -> acid
nonacidic                           -> acidic
nonacidity                          -> acidity
nonacidogenic                       -> acidogenic
nonacidophile                       -> acidophile
nonacidophilic                      -> acidophilic
nonacidotic                         -> acidotic
nonacidulous                        -> acidulous
nonacknowledged                     -> acknowledged
nonacknowledging                    -> acknowledging
nonacknowledgment                   -> acknowledgment
nonacnegenic                        -> acnegenic
nonacoptic                          -> acoptic
nonacoustic                         -> acoustic
nonacoustical                       -> acoustical
nonacquaintance                     -> acquaintance
nonacquainted                       -> acquainted
nonacquiescence                     -> acquiescence
nonacquiescent                      -> acquiescent
nonacquirable                       -> acquirable
nonacquired                         -> acquired
nonacquisition                      -> acquisition
nonacquisitional                    -> acquisitional
nonacquisitive                      -> acquisitive
nonacquisitiveness                  -> acquisitiveness
nonacquittal                        -> acquittal
nonacral                            -> acral
nonacrid                            -> acrid
nonacrimonious                      -> acrimonious
nonacrobatic                        -> acrobatic
nonacrocentric                      -> acrocentric
nonacronymous                       -> acronymous
nonacrophobic                       -> acrophobic
nonacrophonic                       -> acrophonic
nonacrosomal                        -> acrosomal
nonacrostic                         -> acrostic
nonacrylic                          -> acrylic
nonact                              -> act
nonactable                          -> actable
nonactin                            -> actin
nonacting                           -> acting
nonactinic                          -> actinic
nonactinide                         -> actinide
nonaction                           -> action
nonactionable                       -> actionable
nonactivatable                      -> activatable
nonactivated                        -> activated
nonactivation                       -> activation
nonactivational                     -> activational
nonactivatory                       -> activatory
nonactive                           -> active
nonactivism                         -> activism
nonactivist                         -> activist
nonactivistic                       -> activistic
nonactivity                         -> activity
nonactor                            -> actor
nonactorish                         -> actorish
nonactorly                          -> actorly
nonactual                           -> actual
nonactuality                        -> actuality
nonactualizable                     -> actualizable
nonactualized                       -> actualized
nonactuarial                        -> actuarial
nonactuatable                       -> actuatable
nonaculeate                         -> aculeate
nonacuminate                        -> acuminate
nonacupoint                         -> acupoint
nonacute                            -> acute
nonacyclic                          -> acyclic
nonacylated                         -> acylated
nonadaptable                        -> adaptable
nonadaptation                       -> adaptation
nonadapted                          -> adapted
nonadaptive                         -> adaptive
nonadaptiveness                     -> adaptiveness
nonaddable                          -> addable
nonaddict                           -> addict
nonaddicted                         -> addicted
nonaddicting                        -> addicting
