# pre- candidates (497 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

preabsorb                           -> absorb
preaccept                           -> accept
preacidify                          -> acidify
preacknowledge                      -> acknowledge
preacquaint                         -> acquaint
preacquire                          -> acquire
preact                              -> act
preactivate                         -> activate
preadapt                            -> adapt
preaddress                          -> address
preadjust                           -> adjust
preadmit                            -> admit
preadmonish                         -> admonish
preadopt                            -> adopt
preadsorb                           -> adsorb
preadvertise                        -> advertise
preage                              -> age
preaggregate                        -> aggregate
prealign                            -> align
preallocate                         -> allocate
preallot                            -> allot
prealter                            -> alter
preamble                            -> amble
preambulate                         -> ambulate
preamp                              -> amp
preamplify                          -> amplify
preanalyse                          -> analyse
preanesthetize                      -> anesthetize
preanneal                           -> anneal
preannounce                         -> announce
preapologize                        -> apologize
preapply                            -> apply
preappoint                          -> appoint
preapprove                          -> approve
prearm                              -> arm
prearrange                          -> arrange
preascertain                        -> ascertain
preassemble                         -> assemble
preassess                           -> assess
preassign                           -> assign
preassociate                        -> associate
preassume                           -> assume
preattend                           -> attend
preaudit                            -> audit
preauthorize                        -> authorize
prebait                             -> bait
prebake                             -> bake
prebatch                            -> batch
prebend                             -> bend
prebill                             -> bill
prebind                             -> bind
preblanch                           -> blanch
preblend                            -> blend
prebless                            -> bless
preblock                            -> block
preblow                             -> blow
preboard                            -> board
preboil                             -> boil
prebolus                            -> bolus
prebook                             -> book
prebreak                            -> break
prebuffer                           -> buffer
prebuild                            -> build
prebunk                             -> bunk
preburn                             -> burn
prebut                              -> but
prebuy                              -> buy
precache                            -> cache
precalcine                          -> calcine
precalculate                        -> calculate
precancel                           -> cancel
precapitulate                       -> capitulate
precast                             -> cast
precaution                          -> caution
precede                             -> cede
precelebrate                        -> celebrate
precensor                           -> censor
precertify                          -> certify
precess                             -> cess
precharge                           -> charge
precheck                            -> check
prechew                             -> chew
prechill                            -> chill
prechoose                           -> choose
prechop                             -> chop
prechunk                            -> chunk
preclaim                            -> claim
preclassify                         -> classify
preclean                            -> clean
preclear                            -> clear
precoat                             -> coat
precode                             -> code
precogitate                         -> cogitate
precognize                          -> cognize
precognosce                         -> cognosce
precollect                          -> collect
precolor                            -> color
precolour                           -> colour
precombine                          -> combine
precommit                           -> commit
precompact                          -> compact
precompensate                       -> compensate
precompile                          -> compile
precomplex                          -> complex
precompose                          -> compose
precomprehend                       -> comprehend
precompress                         -> compress
precompute                          -> compute
preconceit                          -> conceit
preconceive                         -> conceive
preconcentrate                      -> concentrate
