# un- candidates (10095 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

unabandon                           -> abandon
unabandoned                         -> abandoned
unabased                            -> abased
unabashable                         -> abashable
unabashed                           -> abashed
unabashing                          -> abashing
unabatable                          -> abatable
unabate                             -> abate
unabated                            -> abated
unabbreviable                       -> abbreviable
unabbreviatable                     -> abbreviatable
unabbreviate                        -> abbreviate
unabbreviated                       -> abbreviated
unabdicate                          -> abdicate
unabducted                          -> abducted
unaberrant                          -> aberrant
unaberrated                         -> aberrated
unabhorred                          -> abhorred
unabhorrent                         -> abhorrent
unabideable                         -> abideable
unabiding                           -> abiding
unabject                            -> abject
unabjured                           -> abjured
unable                              -> able
unabled                             -> abled
unabolish                           -> abolish
unabolishable                       -> abolishable
unabort                             -> abort
unaborted                           -> aborted
unabortive                          -> abortive
unabrasive                          -> abrasive
unabridgable                        -> abridgable
unabridged                          -> abridged
unabrupt                            -> abrupt
unabsolute                          -> absolute
unabsolvable                        -> absolvable
unabsolve                           -> absolve
unabsolved                          -> absolved
unabsorbable                        -> absorbable
unabsorbed                          -> absorbed
unabsorbent                         -> absorbent
unabsorbing                         -> absorbing
unabstemious                        -> abstemious
unabstract                          -> abstract
unabstracted                        -> abstracted
unabsurd                            -> absurd
unabundant                          -> abundant
unabuse                             -> abuse
unabused                            -> abused
unabusive                           -> abusive
unacademic                          -> academic
unacademical                        -> academical
unaccelerate                        -> accelerate
unaccelerated                       -> accelerated
unaccent                            -> accent
unaccented                          -> accented
unaccept                            -> accept
unacceptable                        -> acceptable
unacceptant                         -> acceptant
unaccepted                          -> accepted
unaccepting                         -> accepting
unaccessible                        -> accessible
unaccessorized                      -> accessorized
unaccessory                         -> accessory
unaccidental                        -> accidental
unaccidented                        -> accidented
unacclaimed                         -> acclaimed
unacclimated                        -> acclimated
unacclimatized                      -> acclimatized
unaccommodable                      -> accommodable
unaccommodating                     -> accommodating
unaccommodative                     -> accommodative
unaccompanied                       -> accompanied
unaccomplishable                    -> accomplishable
unaccomplished                      -> accomplished
unaccordable                        -> accordable
unaccordant                         -> accordant
unaccording                         -> according
unaccostable                        -> accostable
unaccosted                          -> accosted
unaccountable                       -> accountable
unaccounted-for                     -> accounted-for
unaccredited                        -> accredited
unaccrued                           -> accrued
unacculturated                      -> acculturated
unaccumulable                       -> accumulable
unaccumulate                        -> accumulate
unaccurate                          -> accurate
unaccursed                          -> accursed
unaccusable                         -> accusable
unaccusative                        -> accusative
unaccusatory                        -> accusatory
unaccused                           -> accused
unaccusing                          -> accusing
unaccustom                          -> accustom
unaccustomable                      -> accustomable
unaccustomed                        -> accustomed
unacerbic                           -> acerbic
unacetylatable                      -> acetylatable
unacetylated                        -> acetylated
unache                              -> ache
unachievable                        -> achievable
unachieved                          -> achieved
unaching                            -> aching
unacidic                            -> acidic
unacknowledge                       -> acknowledge
unacknowledgeable                   -> acknowledgeable
unacknowledged                      -> acknowledged
unacknowledging                     -> acknowledging
unacoustic                          -> acoustic
unacquaint                          -> acquaint
unacquaintable                      -> acquaintable
unacquainted                        -> acquainted
unacquiescent                       -> acquiescent
unacquirable                        -> acquirable
unacquire                           -> acquire
unacquired                          -> acquired
unacquisitive                       -> acquisitive
unacquitted                         -> acquitted
unacrimonious                       -> acrimonious
unacrobatic                         -> acrobatic
unacrylated                         -> acrylated
unact                               -> act
unactable                           -> actable
